event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Campus Entrepreneurship Forum,Networking,Wednesday,6PM,Online,LinkedIn,92,156,8699,3.2,Good organization and networking
Collaborative Research Workshop,Networking,Tuesday,6PM,Online,Multiple,281,390,1184,3.7,Good organization and networking
Advanced Entrepreneurship Night,Hackathon,Tuesday,10AM,University Center,LinkedIn,189,178,4610,3.4,Average event could improve timing
Interactive Research Summit,Hackathon,Tuesday,6PM,Student Center,Flyers,73,67,3144,3.4,Average event could improve timing
Advanced Career Forum,Research Talk,Monday,4PM,University Center,Instagram,421,454,9617,2.6,"Turnout was disappointing, hard to stay engaged"
Emerging Entrepreneurship Meetup,Social Event,Wednesday,2PM,Library,LinkedIn,189,179,4529,3.3,Average event could improve timing
Collaborative Data Science Summit,Career Fair,Friday,2PM,University Center,Instagram,380,437,533,3.4,Average event could improve timing
Regional Networking Showcase,Hackathon,Tuesday,4PM,Student Center,LinkedIn,440,493,6935,3.3,Average event could improve timing
Emerging Cloud Computing Meetup,Workshop,Friday,10AM,Online,Email,230,258,6666,3.4,Average event could improve timing
Annual Career Showcase,Seminar,Saturday,10AM,University Center,LinkedIn,239,127,3661,1.7,"Turnout was disappointing, hard to stay engaged"
Global Career Symposium,Workshop,Wednesday,2PM,Engineering Hall,Email,467,540,5467,2.3,Felt underprepared for the number of attendees
Applied Cloud Computing Summit,Research Talk,Monday,2PM,Online,Multiple,157,146,616,3.1,Good organization and networking
Applied Innovation Forum,Seminar,Wednesday,6PM,Student Center,LinkedIn,137,145,9540,3.1,Good organization and networking
Regional Robotics Workshop,Hackathon,Saturday,6PM,Student Center,Instagram,83,89,2601,3.0,Average event could improve timing
Applied Product Forum,Social Event,Tuesday,6PM,Library,Instagram,484,475,878,3.2,Average event could improve timing
Advanced Cloud Computing Workshop,Research Talk,Saturday,6PM,Online,Email,268,202,1349,2.8,"Turnout was disappointing, hard to stay engaged"
Community Career Summit,Workshop,Saturday,6PM,Online,LinkedIn,235,351,8974,3.2,Good organization and networking
Emerging AI Forum,Research Talk,Thursday,6PM,Online,Flyers,52,49,6920,3.4,Good organization and networking
Emerging Design Summit,Seminar,Monday,12PM,Online,Email,177,141,3725,2.6,Too crowded and poorly managed
Applied Entrepreneurship Night,Hackathon,Saturday,10AM,University Center,LinkedIn,271,221,893,3.0,Average event could improve timing
Interactive Career Summit,Research Talk,Tuesday,10AM,Online,Instagram,224,156,1391,2.4,"Turnout was disappointing, hard to stay engaged"
Regional AI Summit,Seminar,Friday,6PM,Online,Email,370,409,7814,2.4,Felt underprepared for the number of attendees
Open Research Showcase,Workshop,Thursday,2PM,University Center,Instagram,81,121,7740,2.9,Too crowded and poorly managed
Advanced AI Forum,Career Fair,Monday,10AM,University Center,Multiple,76,91,5331,3.6,Interesting but promotion was weak
Collaborative Cloud Computing Forum,Seminar,Thursday,12PM,Student Center,Multiple,55,70,7928,2.8,"Turnout was disappointing, hard to stay engaged"
Global AI Summit,Social Event,Monday,2PM,University Center,LinkedIn,314,329,5877,3.3,Average event could improve timing
Interactive Design Workshop,Workshop,Friday,10AM,Student Center,Instagram,343,314,2564,3.3,Average event could improve timing
Annual Robotics Workshop,Career Fair,Thursday,6PM,Online,Instagram,174,364,2755,3.0,Good organization and networking
Campus Cybersecurity Workshop,Social Event,Thursday,6PM,Library,Flyers,348,329,9366,2.8,Too crowded and poorly managed
Global Product Night,Social Event,Wednesday,2PM,Library,Email,315,261,2869,2.5,Too crowded and poorly managed
Global AI Workshop,Seminar,Friday,10AM,Online,Flyers,150,108,3782,2.7,Felt underprepared for the number of attendees
Modern Entrepreneurship Forum,Networking,Saturday,4PM,Online,Multiple,404,573,5925,3.2,Average event could improve timing
Global Data Science Showcase,Research Talk,Thursday,2PM,Engineering Hall,Email,282,230,1191,3.1,Interesting but promotion was weak
Community Entrepreneurship Night,Networking,Saturday,12PM,Online,Multiple,159,221,4416,3.4,Interesting but promotion was weak
Annual AI Workshop,Hackathon,Thursday,12PM,Online,Instagram,472,657,610,4.2,Loved the speakers and content
Modern Entrepreneurship Summit,Workshop,Friday,10AM,Engineering Hall,Flyers,275,176,3685,3.1,Average event could improve timing
Campus Entrepreneurship Night,Workshop,Tuesday,12PM,Library,Instagram,162,152,4792,2.9,Felt underprepared for the number of attendees
Annual Networking Meetup,Social Event,Tuesday,12PM,Engineering Hall,Email,140,143,4789,4.0,Amazing event and very informative
Emerging Entrepreneurship Showcase,Career Fair,Saturday,10AM,Library,Instagram,206,174,7974,2.4,Too crowded and poorly managed
Global Career Forum,Networking,Friday,6PM,Online,Email,110,139,2866,2.8,Too crowded and poorly managed
Modern Research Meetup,Career Fair,Saturday,2PM,Library,Multiple,269,287,4506,3.4,Good organization and networking
Open Robotics Night,Seminar,Friday,2PM,Engineering Hall,Flyers,176,87,1372,2.2,Felt underprepared for the number of attendees
Modern AI Meetup,Social Event,Friday,4PM,Engineering Hall,Email,451,533,8211,2.2,Felt underprepared for the number of attendees
Emerging Innovation Workshop,Social Event,Thursday,6PM,Library,LinkedIn,315,462,8106,3.7,Good organization and networking
Modern Networking Summit,Social Event,Saturday,4PM,Online,LinkedIn,187,209,7069,3.4,Average event could improve timing
Advanced Cloud Computing Forum,Networking,Tuesday,12PM,Online,Instagram,252,287,4081,3.1,Interesting but promotion was weak
Collaborative Product Workshop,Networking,Wednesday,2PM,Student Center,Email,118,99,1876,2.8,"Turnout was disappointing, hard to stay engaged"
Collaborative Cybersecurity Symposium,Networking,Friday,10AM,Online,Multiple,368,478,6011,3.1,Interesting but promotion was weak
Collaborative Career Workshop,Career Fair,Wednesday,4PM,Library,Flyers,245,181,904,1.9,Too crowded and poorly managed
Interactive Networking Summit,Hackathon,Monday,2PM,University Center,Flyers,481,460,8720,2.7,Felt underprepared for the number of attendees
Interactive Career Workshop,Seminar,Wednesday,12PM,University Center,Email,86,86,6402,2.8,Too crowded and poorly managed
Community Research Meetup,Networking,Saturday,2PM,Library,Flyers,431,195,4996,2.7,Too crowded and poorly managed
Emerging Cloud Computing Symposium,Seminar,Saturday,6PM,Library,Email,444,323,5406,2.5,"Turnout was disappointing, hard to stay engaged"
Global Career Showcase,Seminar,Friday,10AM,Online,Multiple,439,463,2945,3.3,Interesting but promotion was weak
Community Cybersecurity Workshop,Hackathon,Tuesday,4PM,Engineering Hall,Multiple,350,564,9554,2.9,"Turnout was disappointing, hard to stay engaged"
Collaborative Cybersecurity Night,Seminar,Monday,2PM,Engineering Hall,LinkedIn,444,284,7343,2.2,Too crowded and poorly managed
Community Data Science Symposium,Social Event,Monday,2PM,Engineering Hall,Multiple,497,488,2602,3.2,Interesting but promotion was weak
Advanced Innovation Forum,Seminar,Saturday,2PM,Library,Instagram,264,171,7474,2.6,Felt underprepared for the number of attendees
Campus Entrepreneurship Forum,Research Talk,Wednesday,6PM,University Center,Multiple,452,593,1027,3.6,Good organization and networking
